,Name,Location,Type,Fee,QS Ranking,Setara Rating,Accounting,Computer Science,Engineering,Education,Architecture,Business,Language,Islamic studies,Shariah and Law,Dental,Medic,Nursing,Health,Economy,Science,Pharmacy,Fine Arts,Food,Optometry,Nutrition,Forensic Science,Counselling,Finance,Social Science
25,International Medical University (IMU),Kuala Lumpur,Private,300000,,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1,Universiti Malaya (UM),Kuala Lumpur,Public,13000,70,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
4,Universiti Putra Malaysia (UPM),Selangor,Public,12000,123,6,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1
2,Universiti Sains Malaysia (USM),Pulau Pinang,Public,15000,143,6,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1
5,Universiti Teknologi Malaysia (UTM),Johor,Public,11000,203,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Universiti Teknologi Petronas (UTP),Selangor,Private,94400,361,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,Asia Pacific University of Technology and Innovation (APU),Kuala Lumpur,Private,80000,,5,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
37,Management and Science University (MSU),Selangor,Private,40000,601,5,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1
44,Manipal International University,Negeri Sembilan,Private,80000,,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,"Multimedia University (MMU), Cyberjaya",Selangor,Private,17000,1001,5,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
51,SEGi University,Selangor,Private,22000,,5,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1
43,Sunway University,Selangor,Private,60000,601,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
42,Taylor’s University,Selangor,Private,150000,284,5,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1
39,UCSI University,Kuala Lumpur,Private,70000,284,5,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0
68,Universiti Cyberjaya (University of Cyberjaya (UoC)),Selangor,Private,135400,,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
7,Universiti Islam Antarabangsa Malaysia (UIAM),Selangor,Public,11500,651,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
3,Universiti Kebangsaan Malaysia (UKM),Selangor,Public,40000,129,5,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1
31,Universiti Kuala Lumpur (UniKL),Kuala.Lumpur,Private,60000,1001,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
16,Universiti Malaysia Pahang (UMP),Pahang,Public,12000,801,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Universiti Malaysia Perlis (UniMAP),Perlis,Public,12000,801,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Universiti Malaysia Sarawak (UNIMAS),Sarawak,Public,10000,1001,5,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
13,Universiti Malaysia Terengganu (UMT),Terengganu,Public,12000,1001,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
